CepsOrigem;CepDestino;QTD;Altura;Comprimento;Largura;Peso;QTD;SKU
"{""origin_zip_code"":""25085340""";17208380;17208380;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792850889""}]}"
"{""origin_zip_code"":""25085340""";29165752;29165752;height:35;length:188;width:138;weight:65;quantity:1;"sku_id:""1800381403""}]}"
"{""origin_zip_code"":""25085340""";32370290;32370290;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";40725190;40725190;height:46;length:188;width:88;weight:25;quantity:1;"sku_id:""39029200""}]}"
"{""origin_zip_code"":""25085340""";64062410;64062410;height:46;length:188;width:88;weight:25;quantity:1;"sku_id:""39029200""}]}"
"{""origin_zip_code"":""25085340""";83408345;83408345;height:35;length:198;width:158;weight:3;quantity:1;"sku_id:""75726189""}]}"
"{""origin_zip_code"":""25085340""";11703330;11703330;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864447""}]}"
"{""origin_zip_code"":""25085340""";13360000;13360000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";14400630;14400630;height:40;length:188;width:138;weight:15;quantity:1;"sku_id:""1466469521""}]}"
"{""origin_zip_code"":""25085340""";18045190;18045190;height:38;length:188;width:78;weight:30;quantity:1;"sku_id:""2792858733""}]}"
"{""origin_zip_code"":""25085340""";29230000;29230000;height:9;length:9;width:9;weight:0.01;quantity:1;"sku_id:""4887845775""}]}"
"{""origin_zip_code"":""25085340""";35020220;35020220;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792852032""}]}"
"{""origin_zip_code"":""25085340""";36830000;36830000;height:1;length:2;width:2;weight:3;quantity:1;"sku_id:""429691300""}]}"
"{""origin_zip_code"":""25085340""";37701000;37701000;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792878401""}]}"
"{""origin_zip_code"":""25085340""";37701829;37701829;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792878401""}]}"
"{""origin_zip_code"":""25085340""";40390560;40390560;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";65950000;65950000;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792847882""}]}"
"{""origin_zip_code"":""25085340""";8341000;08341000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";86200000;86200000;height:78;length:180;width:90;weight:3;quantity:1;"sku_id:""48380362""}]}"
"{""origin_zip_code"":""25085340""";11075430;11075430;height:38;length:188;width:88;weight:30;quantity:1;"sku_id:""2792849589""}]}"
"{""origin_zip_code"":""25085340""";11701090;11701090;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864447""}]}"
"{""origin_zip_code"":""25085340""";11950000;11950000;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""55814477""}]}"
"{""origin_zip_code"":""25085340""";12239800;12239800;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";12914750;12914750;height:11;length:11;width:11;weight:0.03;quantity:1;"sku_id:""2792838783""}]}"
"{""origin_zip_code"":""25085340""";13211150;13211150;height:35;length:198;width:158;weight:3;quantity:1;"sku_id:""75726189""}]}"
"{""origin_zip_code"":""25085340""";13780000;13780000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";14020550;14020550;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792851988""}]}"
"{""origin_zip_code"":""25085340""";14026310;14026310;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";14400630;14400630;height:30;length:188;width:138;weight:0.01;quantity:1;"sku_id:""18877929""}]}"
"{""origin_zip_code"":""25085340""";18035090;18035090;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";19065630;19065630;height:40;length:188;width:128;weight:15;quantity:1;"sku_id:""3068594870""}]}"
"{""origin_zip_code"":""25085340""";19360000;19360000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";26285651;26285651;height:12;length:12;width:12;weight:0.02;quantity:1;"sku_id:""2792838003""}]}"
"{""origin_zip_code"":""25085340""";28948718;28948718;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";29167920;29167920;height:100;length:100;width:100;weight:0.2;quantity:1;"sku_id:""15582927""}]}"
"{""origin_zip_code"":""25085340""";30492040;30492040;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";30640060;30640060;height:38;length:188;width:88;weight:30;quantity:1;"sku_id:""2792856025""}]}"
"{""origin_zip_code"":""25085340""";31530600;31530600;height:45;length:90;width:45;weight:0.01;quantity:1;"sku_id:""2792870118""}]}"
"{""origin_zip_code"":""25085340""";32341310;32341310;height:36;length:138;width:138;weight:1;quantity:1;"sku_id:""39067359""}]}"
"{""origin_zip_code"":""25085340""";35020220;35020220;height:38;length:188;width:88;weight:30;quantity:1;"sku_id:""2792849589""}]}"
"{""origin_zip_code"":""25085340""";37200084;37200084;height:40;length:188;width:138;weight:15;quantity:1;"sku_id:""1466469521""}]}"
"{""origin_zip_code"":""25085340""";37559715;37559715;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792878401""}]}"
"{""origin_zip_code"":""25085340""";38037525;38037525;height:36;length:138;width:138;weight:1;quantity:1;"sku_id:""39067359""}]}"
"{""origin_zip_code"":""25085340""";38412290;38412290;height:11;length:16;width:2;weight:1;quantity:1;"sku_id:""34732607""}]}"
"{""origin_zip_code"":""25085340""";39404230;39404230;height:11;length:16;width:2;weight:1;quantity:1;"sku_id:""34732607""}]}"
"{""origin_zip_code"":""25085340""";39404251;39404251;height:12;length:188;width:88;weight:7;quantity:1;"sku_id:""3057639921""}]}"
"{""origin_zip_code"":""25085340""";39720000;39720000;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";40300781;40300781;height:100;length:100;width:100;weight:45;quantity:1;"sku_id:""13912904""}]}"
"{""origin_zip_code"":""25085340""";40725560;40725560;height:40;length:198;width:158;weight:1;quantity:1;"sku_id:""36677269""}]}"
"{""origin_zip_code"":""25085340""";42825188;42825188;height:38;length:188;width:88;weight:30;quantity:1;"sku_id:""2792855882""}]}"
"{""origin_zip_code"":""25085340""";46860000;46860000;height:12;length:188;width:88;weight:7;quantity:1;"sku_id:""3057639921""}]}"
"{""origin_zip_code"":""25085340""";47802180;47802180;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";49740000;49740000;height:44;length:188;width:88;weight:25;quantity:1;"sku_id:""4870470655""}]}"
"{""origin_zip_code"":""25085340""";50720123;50720123;height:110.00000000000001;length:96;width:85;weight:15;quantity:1;"sku_id:""3609438133""}]}"
"{""origin_zip_code"":""25085340""";54400530;54400530;height:11;length:11;width:11;weight:0.02;quantity:1;"sku_id:""2792876579""}]}"
"{""origin_zip_code"":""25085340""";55027100;55027100;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""13912956""}]}"
"{""origin_zip_code"":""25085340""";57062310;57062310;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792878401""}]}"
"{""origin_zip_code"":""25085340""";57607670;57607670;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792878401""}]}"
"{""origin_zip_code"":""25085340""";60115000;60115000;height:11;length:16;width:2;weight:1;quantity:1;"sku_id:""34746499""}]}"
"{""origin_zip_code"":""25085340""";60415000;60415000;height:46;length:188;width:88;weight:25;quantity:1;"sku_id:""39029200""}]}"
"{""origin_zip_code"":""25085340""";65480000;65480000;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";72405550;72405550;height:78;length:180;width:90;weight:3;quantity:1;"sku_id:""48380362""}]}"
"{""origin_zip_code"":""25085340""";72950000;72950000;height:35;length:202.99999999999997;width:192;weight:1;quantity:1;"sku_id:""51261894""}]}"
"{""origin_zip_code"":""25085340""";76824220;76824220;height:120;length:35;width:193;weight:20;quantity:1;"sku_id:""2792848033""}]}"
"{""origin_zip_code"":""25085340""";7714590;07714590;height:40;length:188;width:108;weight:0.12;quantity:1;"sku_id:""67246008""}]}"
"{""origin_zip_code"":""25085340""";79740000;79740000;height:100;length:100;width:100;weight:1;quantity:1;"sku_id:""15126366""}]}"
"{""origin_zip_code"":""25085340""";82860050;82860050;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";8460510;08460510;height:37;length:188;width:88;weight:15;quantity:1;"sku_id:""1214359490""}]}"
"{""origin_zip_code"":""25085340""";86990000;86990000;height:1;length:1;width:1;weight:0.01;quantity:1;"sku_id:""2792832998""}]}"
"{""origin_zip_code"":""25085340""";89227690;89227690;height:12;length:12;width:12;weight:0.02;quantity:1;"sku_id:""2792851275""}]}"
"{""origin_zip_code"":""25085340""";9271010;09271010;height:25;length:188;width:88;weight:0.01;quantity:1;"sku_id:""2792859496""}]}"
"{""origin_zip_code"":""25085340""";11045540;11045540;height:37;length:188;width:138;weight:10;quantity:1;"sku_id:""3069528196""}]}"
"{""origin_zip_code"":""25085340""";11065050;11065050;height:100;length:100;width:100;weight:52;quantity:1;"sku_id:""19510502""}]}"
"{""origin_zip_code"":""25085340""";11070080;11070080;height:120;length:34;width:90;weight:1;quantity:1;"sku_id:""45559965""}]}"
"{""origin_zip_code"":""25085340""";11085080;11085080;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";11430220;11430220;height:1;length:1;width:1;weight:3;quantity:1;"sku_id:""106510962""}]}"
"{""origin_zip_code"":""25085340""";11431111;11431111;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";11630000;11630000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";11662300;11662300;height:35;length:188;width:128;weight:1;quantity:1;"sku_id:""29791287""}]}"
"{""origin_zip_code"":""25085340""";11665470;11665470;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864447""}]}"
"{""origin_zip_code"":""25085340""";11701670;11701670;height:11;length:11;width:11;weight:0.02;quantity:1;"sku_id:""1183578357""}]}"
"{""origin_zip_code"":""25085340""";11740000;11740000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";11940000;11940000;height:35;length:198;width:158;weight:3;quantity:1;"sku_id:""75726189""}]}"
"{""origin_zip_code"":""25085340""";11955000;11955000;height:40;length:188;width:138;weight:15;quantity:1;"sku_id:""1466469521""}]}"
"{""origin_zip_code"":""25085340""";12606490;12606490;height:38;length:188;width:138;weight:1;quantity:1;"sku_id:""13912986""}]}"
"{""origin_zip_code"":""25085340""";13012000;13012000;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864447""}]}"
"{""origin_zip_code"":""25085340""";13178574;13178574;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";13186650;13186650;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";13308195;13308195;height:35;length:202.99999999999997;width:192;weight:1;quantity:1;"sku_id:""51261894""}]}"
"{""origin_zip_code"":""25085340""";13385754;13385754;height:1;length:1;width:1;weight:3;quantity:1;"sku_id:""106498183""}]}"
"{""origin_zip_code"":""25085340""";13602005;13602005;height:35;length:188;width:138;weight:65;quantity:1;"sku_id:""1800381403""}]}"
"{""origin_zip_code"":""25085340""";13940000;13940000;height:1;length:1;width:1;weight:3;quantity:1;"sku_id:""96911132""}]}"
"{""origin_zip_code"":""25085340""";16022040;16022040;height:1;length:2;width:1;weight:3;quantity:1;"sku_id:""210634731""}]}"
"{""origin_zip_code"":""25085340""";16401030;16401030;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";16903153;16903153;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";17010280;17010280;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";17370332;17370332;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";17516740;17516740;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";18031310;18031310;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";18031310;18031310;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";18051837;18051837;height:40;length:188;width:128;weight:15;quantity:1;"sku_id:""1488131311""}]}"
"{""origin_zip_code"":""25085340""";18055165;18055165;height:35;length:190;width:100;weight:1;quantity:1;"sku_id:""10701040""}]}"
"{""origin_zip_code"":""25085340""";18071297;18071297;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";18095000;18095000;height:46;length:188;width:88;weight:25;quantity:1;"sku_id:""39029200""}]}"
"{""origin_zip_code"":""25085340""";18114453;18114453;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";18114453;18114453;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";18211265;18211265;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";18211265;18211265;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";18301220;18301220;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";18301220;18301220;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";18580000;18580000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";18608030;18608030;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";18618114;18618114;height:12;length:33;width:32;weight:0.02;quantity:1;"sku_id:""2792843486""}]}"
"{""origin_zip_code"":""25085340""";18702805;18702805;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";19700059;19700059;height:100;length:100;width:100;weight:45;quantity:1;"sku_id:""13912904""}]}"
"{""origin_zip_code"":""25085340""";28944042;28944042;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";28948480;28948480;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";29070825;29070825;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792852032""}]}"
"{""origin_zip_code"":""25085340""";29101070;29101070;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792851988""}]}"
"{""origin_zip_code"":""25085340""";29160065;29160065;height:25;length:188;width:88;weight:0.01;quantity:1;"sku_id:""2792859496""}]}"
"{""origin_zip_code"":""25085340""";29164855;29164855;height:36;length:188;width:138;weight:47;quantity:1;"sku_id:""41804928""}]}"
"{""origin_zip_code"":""25085340""";29167081;29167081;height:1;length:1;width:1;weight:0.01;quantity:1;"sku_id:""2792832998""}]}"
"{""origin_zip_code"":""25085340""";29290000;29290000;height:25;length:188;width:88;weight:0.01;quantity:1;"sku_id:""106846357""}]}"
"{""origin_zip_code"":""25085340""";29640000;29640000;height:8;length:8;width:8;weight:0.01;quantity:1;"sku_id:""4887836713""}]}"
"{""origin_zip_code"":""25085340""";29933530;29933530;height:35;length:188;width:158;weight:1;quantity:1;"sku_id:""60936755""}]}"
"{""origin_zip_code"":""25085340""";30140111;30140111;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864498""}]}"
"{""origin_zip_code"":""25085340""";30140111;30140111;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864535""}]}"
"{""origin_zip_code"":""25085340""";30160017;30160017;height:120;length:120;width:250;weight:0.13;quantity:1;"sku_id:""4870237319""}]}"
"{""origin_zip_code"":""25085340""";30190120;30190120;height:11;length:11;width:11;weight:0.02;quantity:1;"sku_id:""2792876579""}]}"
"{""origin_zip_code"":""25085340""";30320040;30320040;height:40;length:188;width:138;weight:15;quantity:1;"sku_id:""3068531553""}]}"
"{""origin_zip_code"":""25085340""";30330260;30330260;height:25;length:188;width:88;weight:0.01;quantity:1;"sku_id:""652128122""}]}"
"{""origin_zip_code"":""25085340""";30510203;30510203;height:3000;length:188;width:110.00000000000001;weight:40;quantity:1;"sku_id:""18903087""}]}"
"{""origin_zip_code"":""25085340""";30575000;30575000;height:36;length:138;width:138;weight:1;quantity:1;"sku_id:""39067359""}]}"
"{""origin_zip_code"":""25085340""";30575859;30575859;height:42;length:202.99999999999997;width:96;weight:15;quantity:1;"sku_id:""2792843591""}]}"
"{""origin_zip_code"":""25085340""";30624020;30624020;height:37;length:188;width:88;weight:10;quantity:1;"sku_id:""106498251""}]}"
"{""origin_zip_code"":""25085340""";30628010;30628010;height:12;length:98;width:78;weight:0.01;quantity:1;"sku_id:""2792839049""}]}"
"{""origin_zip_code"":""25085340""";30840630;30840630;height:11;length:16;width:2;weight:1;quantity:1;"sku_id:""34732607""}]}"
"{""origin_zip_code"":""25085340""";30860000;30860000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";31070030;31070030;height:42;length:188;width:78;weight:15;quantity:1;"sku_id:""18879682""}]}"
"{""origin_zip_code"":""25085340""";31080160;31080160;height:42;length:188;width:78;weight:15;quantity:1;"sku_id:""18879682""}]}"
"{""origin_zip_code"":""25085340""";31530600;31530600;height:45;length:90;width:45;weight:0.01;quantity:1;"sku_id:""2792870193""}]}"
"{""origin_zip_code"":""25085340""";31530600;31530600;height:45;length:90;width:45;weight:0.01;quantity:1;"sku_id:""2792870169""}]}"
"{""origin_zip_code"":""25085340""";31530600;31530600;height:45;length:90;width:45;weight:0.01;quantity:1;"sku_id:""2792870134""}]}"
"{""origin_zip_code"":""25085340""";31742410;31742410;height:86;length:189;width:97;weight:15;quantity:1;"sku_id:""2614487466""}]}"
"{""origin_zip_code"":""25085340""";33203468;33203468;height:1;length:1;width:1;weight:3;quantity:1;"sku_id:""106498183""}]}"
"{""origin_zip_code"":""25085340""";34400000;34400000;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792875672""}]}"
"{""origin_zip_code"":""25085340""";35198000;35198000;height:18;length:188;width:138;weight:8;quantity:1;"sku_id:""2792847997""}]}"
"{""origin_zip_code"":""25085340""";35280000;35280000;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""2792878401""}]}"
"{""origin_zip_code"":""25085340""";35302260;35302260;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";35340000;35340000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";35400000;35400000;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792864527""}]}"
"{""origin_zip_code"":""25085340""";35574132;35574132;height:1;length:1;width:1;weight:0.01;quantity:1;"sku_id:""2792852358""}]}"
"{""origin_zip_code"":""25085340""";35588000;35588000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";35720000;35720000;height:100;length:100;width:100;weight:52;quantity:1;"sku_id:""19510502""}]}"
"{""origin_zip_code"":""25085340""";36035410;36035410;height:11;length:11;width:11;weight:0.02;quantity:1;"sku_id:""13912880""}]}"
"{""origin_zip_code"":""25085340""";36052330;36052330;height:18;length:188;width:138;weight:8;quantity:1;"sku_id:""2792847997""}]}"
"{""origin_zip_code"":""25085340""";36300176;36300176;height:12;length:12;width:12;weight:0.02;quantity:1;"sku_id:""2792838003""}]}"
"{""origin_zip_code"":""25085340""";36401040;36401040;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76943656""}]}"
"{""origin_zip_code"":""25085340""";36640000;36640000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";36883066;36883066;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792852032""}]}"
"{""origin_zip_code"":""25085340""";36883066;36883066;height:100;length:100;width:100;weight:52;quantity:1;"sku_id:""19510502""}]}"
"{""origin_zip_code"":""25085340""";37200673;37200673;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76943656""}]}"
"{""origin_zip_code"":""25085340""";37273000;37273000;height:40;length:188;width:108;weight:0.12;quantity:1;"sku_id:""67246008""}]}"
"{""origin_zip_code"":""25085340""";37975000;37975000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";38041027;38041027;height:36;length:138;width:138;weight:1;quantity:1;"sku_id:""39067359""}]}"
"{""origin_zip_code"":""25085340""";38180642;38180642;height:100;length:100;width:100;weight:0.09;quantity:1;"sku_id:""10699854""}]}"
"{""origin_zip_code"":""25085340""";38408192;38408192;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792850555""}]}"
"{""origin_zip_code"":""25085340""";38421617;38421617;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";38610250;38610250;height:100;length:100;width:100;weight:52;quantity:1;"sku_id:""19510502""}]}"
"{""origin_zip_code"":""25085340""";39330000;39330000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";39550000;39550000;height:30;length:198;width:158;weight:40;quantity:1;"sku_id:""18879711""}]}"
"{""origin_zip_code"":""25085340""";39690000;39690000;height:45;length:90;width:45;weight:0.01;quantity:1;"sku_id:""2792870169""}]}"
"{""origin_zip_code"":""25085340""";39720000;39720000;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";40070080;40070080;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";40226615;40226615;height:37;length:188;width:88;weight:10;quantity:1;"sku_id:""106498251""}]}"
"{""origin_zip_code"":""25085340""";40310050;40310050;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792851988""}]}"
"{""origin_zip_code"":""25085340""";40342710;40342710;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";40420096;40420096;height:9;length:9;width:9;weight:0.01;quantity:1;"sku_id:""4887845775""}]}"
"{""origin_zip_code"":""25085340""";40450205;40450205;height:99;length:9;width:9;weight:0.09;quantity:1;"sku_id:""2792851806""}]}"
"{""origin_zip_code"":""25085340""";41253260;41253260;height:9;length:9;width:9;weight:0.01;quantity:1;"sku_id:""4887845775""}]}"
"{""origin_zip_code"":""25085340""";41680050;41680050;height:10;length:10;width:10;weight:0.02;quantity:1;"sku_id:""2792851988""}]}"
"{""origin_zip_code"":""25085340""";42702630;42702630;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";42821826;42821826;height:33;length:33;width:33;weight:0.33;quantity:1;"sku_id:""2532633204""}]}"
"{""origin_zip_code"":""25085340""";44600000;44600000;height:36;length:69;width:69;weight:1;quantity:1;"sku_id:""39069805""}]}"
"{""origin_zip_code"":""25085340""";45445000;45445000;height:35;length:202.99999999999997;width:192;weight:1;quantity:1;"sku_id:""51261977""}]}"
"{""origin_zip_code"":""25085340""";45700000;45700000;height:11;length:11;width:11;weight:0.02;quantity:1;"sku_id:""1183578357""}]}"
"{""origin_zip_code"":""25085340""";46830000;46830000;height:250.99999999999997;length:12;width:2;weight:0.12;quantity:1;"sku_id:""42563243""}]}"
"{""origin_zip_code"":""25085340""";46835000;46835000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";48370000;48370000;height:100;length:100;width:100;weight:0.09;quantity:1;"sku_id:""10699854""}]}"
